sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,0,67,0,91,Others,0,58,Sci&Tech,No,55,Mkt&HR,58.8,Placed,270000
2,0,79.33,1,78.33,Others,1,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,66.28,Placed,200000
3,0,65,1,68,Central,2,64,Comm&Mgmt,No,75,Mkt&Fin,57.8,Placed,250000
4,0,56,1,52,Central,1,52,Sci&Tech,No,66,Mkt&HR,59.43,Not Placed,NaN
5,0,85.8,1,73.6,Central,0,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,55.5,Placed,425000
6,0,55,0,49.8,Others,1,67.25,Sci&Tech,Yes,55,Mkt&Fin,51.58,Not Placed,NaN
7,1,46,0,49.2,Others,0,79,Comm&Mgmt,No,74.28,Mkt&Fin,53.29,Not Placed,NaN
8,0,82,1,64,Central,1,66,Sci&Tech,Yes,67,Mkt&Fin,62.14,Placed,252000
9,0,73,1,79,Central,0,72,Comm&Mgmt,No,91.34,Mkt&Fin,61.29,Placed,231000
10,0,58,1,70,Central,0,61,Comm&Mgmt,No,54,Mkt&Fin,52.21,Not Placed,NaN
11,0,58,1,61,Central,0,60,Comm&Mgmt,Yes,62,Mkt&HR,60.85,Placed,260000
12,0,69.6,1,68.4,Central,0,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,63.7,Placed,250000
13,1,47,1,55,Others,1,65,Comm&Mgmt,No,62,Mkt&HR,65.04,Not Placed,NaN
14,1,77,1,87,Central,0,59,Comm&Mgmt,No,68,Mkt&Fin,68.63,Placed,218000
15,0,62,1,47,Central,0,50,Comm&Mgmt,No,76,Mkt&HR,54.96,Not Placed,NaN
16,1,65,1,75,Central,0,69,Comm&Mgmt,Yes,72,Mkt&Fin,64.66,Placed,200000
17,0,63,1,66.2,Central,0,65.6,Comm&Mgmt,Yes,60,Mkt&Fin,62.54,Placed,300000
18,1,55,1,67,Central,0,64,Comm&Mgmt,No,60,Mkt&Fin,67.28,Not Placed,NaN
19,1,63,1,66,Central,0,64,Comm&Mgmt,No,68,Mkt&HR,64.08,Not Placed,NaN
20,0,60,0,67,Others,2,70,Comm&Mgmt,Yes,50.48,Mkt&Fin,77.89,Placed,236000
21,0,62,0,65,Others,0,66,Comm&Mgmt,No,50,Mkt&HR,56.7,Placed,265000
22,1,79,0,76,Others,0,85,Comm&Mgmt,No,95,Mkt&Fin,69.06,Placed,393000
23,1,69.8,0,60.8,Others,1,72.23,Sci&Tech,No,55.53,Mkt&HR,68.81,Placed,360000
