sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,workex,etest_p,mba_p,salary
1,M,67,Others,91,Others,Commerce,58,No,55,58.8,270000
2,M,79.33,Central,78.33,Others,Science,77.48,Yes,86.5,66.28,200000
3,M,65,Central,68,Central,Arts,64,No,75,57.8,250000
4,M,56,Central,52,Central,Science,52,No,66,59.43,288655.40625
5,M,85.8,Central,73.6,Central,Commerce,73.3,No,96.8,55.5,425000
6,M,55,Others,49.8,Others,Science,67.25,Yes,55,51.58,288655.40625
7,F,46,Others,49.2,Others,Commerce,79,No,74.28,53.29,288655.40625
8,M,82,Central,64,Central,Science,66,Yes,67,62.14,252000
9,M,73,Central,79,Central,Commerce,72,No,91.34,61.29,231000
10,M,58,Central,70,Central,Commerce,61,No,54,52.21,288655.40625
11,M,58,Central,61,Central,Commerce,60,Yes,62,60.85,260000
12,M,69.6,Central,68.4,Central,Commerce,78.3,Yes,60,63.7,250000
13,F,47,Central,55,Others,Science,65,No,62,65.04,288655.40625
14,F,77,Central,87,Central,Commerce,59,No,68,68.63,218000
15,M,62,Central,47,Central,Commerce,50,No,76,54.96,288655.40625
16,F,65,Central,75,Central,Commerce,69,Yes,72,64.66,200000
17,M,63,Central,66.2,Central,Commerce,65.6,Yes,60,62.54,300000
18,F,55,Central,67,Central,Commerce,64,No,60,67.28,288655.40625
19,F,63,Central,66,Central,Commerce,64,No,68,64.08,288655.40625
20,M,60,Others,67,Others,Arts,70,Yes,50.48,77.89,236000
21,M,62,Others,65,Others,Commerce,66,No,50,56.7,265000
22,F,79,Others,76,Others,Commerce,85,No,95,69.06,393000
23,F,69.8,Others,60.8,Others,Science,72.23,No,55.53,68.81,360000
24,F,77.4,Others,60,Others,Science,64.74,Yes,92,63.62,300000
25,M,76.5,Others,97.7,Others,Science,78.86,No,97.4,74.01,360000
26,F,52.58,Others,54.6,Central,Commerce,50.2,Yes,76,65.33,288655.40625
27,M,71,Others,79,Others,Commerce,66,Yes,94,57.55,240000
28,M,63,Others,67,Others,Commerce,66,No,68,57.69,265000
29,M,76.76,Others,76.5,Others,Commerce,67.5,Yes,73.35,64.15,350000
30,M,62,Central,67,Central,Commerce,58,No,77,51.29,288655.40625
31,F,64,Central,73.5,Central,Commerce,73,No,52,56.7,250000
32,F,67,Central,53,Central,Science,65,No,64,58.32,288655.40625
33,F,61,Central,81,Central,Commerce,66.4,No,50.89,62.21,278000
34,F,87,Others,65,Others,Science,81,Yes,88,72.78,260000
35,M,62,Others,51,Others,Science,52,No,68.44,62.77,288655.40625
36,F,69,Central,78,Central,Commerce,72,No,71,62.74,300000
37,M,51,Central,44,Central,Commerce,57,No,64,51.45,288655.40625
38,F,79,Central,76,Central,Science,65.6,No,58,55.47,320000
39,F,73,Others,58,Others,Science,66,No,53.7,56.86,240000
40,M,81,Others,68,Others,Science,64,No,93,62.56,411000
41,F,78,Central,77,Others,Commerce,80,No,60,66.72,287000
42,F,74,Others,63.16,Others,Commerce,65,Yes,65,69.76,288655.40625
43,M,49,Others,39,Central,Science,65,No,63,51.21,288655.40625
44,M,87,Others,87,Others,Commerce,68,No,95,62.9,300000
45,F,77,Others,73,Others,Commerce,81,Yes,89,69.7,200000
46,F,76,Central,64,Central,Science,72,No,58,66.53,288655.40625
47,F,70.89,Others,71.98,Others,Science,65.6,No,68,71.63,288655.40625
48,M,63,Central,60,Central,Commerce,57,Yes,78,54.55,204000
49,M,63,Others,62,Others,Commerce,68,No,64,62.46,250000
50,F,50,Others,37,Others,Arts,52,No,65,56.11,288655.40625
51,F,75.2,Central,73.2,Central,Science,68.4,No,65,62.98,200000
52,M,54.4,Central,61.12,Central,Commerce,56.2,No,67,62.65,288655.40625
53,F,40.89,Others,45.83,Others,Commerce,53,No,71.2,65.49,288655.40625
54,M,80,Others,70,Others,Science,72,No,87,71.04,450000
55,F,74,Central,60,Others,Science,69,No,78,65.56,216000
56,M,60.4,Central,66.6,Others,Science,65,No,71,52.71,220000
57,M,63,Others,71.4,Others,Commerce,61.4,No,68,66.88,240000
58,M,68,Central,76,Central,Commerce,74,No,80,63.59,360000
59,M,74,Central,62,Others,Science,68,No,74,57.99,268000
60,M,52.6,Central,65.58,Others,Science,72.11,No,57.6,56.66,265000
61,M,74,Central,70,Central,Science,72,Yes,60,57.24,260000
62,M,84.2,Central,73.4,Central,Commerce,66.89,No,61.6,62.48,300000
63,F,86.5,Others,64.2,Others,Science,67.4,No,59,59.69,240000
64,M,61,Others,70,Others,Commerce,64,No,68.5,59.5,288655.40625
65,M,80,Others,73,Others,Commerce,75,No,61,58.78,240000
66,M,54,Others,47,Others,Science,57,No,89.69,57.1,288655.40625
67,M,83,Others,74,Others,Science,66,No,68.92,58.46,275000
68,M,80.92,Others,78.5,Others,Commerce,67,No,68.71,60.99,275000
69,F,69.7,Central,47,Central,Commerce,72.7,No,79,59.24,288655.40625
70,M,73,Central,73,Central,Science,66,Yes,70,68.07,275000
71,M,82,Others,61,Others,Science,62,No,89,65.45,360000
72,M,75,Others,70.29,Others,Commerce,71,No,95,66.94,240000
73,M,84.86,Others,67,Others,Science,78,No,95.5,68.53,240000
74,M,64.6,Central,83.83,Others,Commerce,71.72,No,86,59.75,218000
75,M,56.6,Central,64.8,Central,Commerce,70.2,No,84.27,67.2,336000
76,F,59,Central,62,Others,Commerce,77.5,No,74,67,288655.40625
77,F,66.5,Others,70.4,Central,Arts,71.93,No,61,64.27,230000
78,M,64,Others,80,Others,Science,65,Yes,69,57.65,500000
79,M,84,Others,90.9,Others,Science,64.5,No,86.04,59.42,270000
80,F,69,Central,62,Central,Science,66,No,75,67.99,288655.40625
81,F,69,Others,62,Others,Commerce,69,Yes,67,62.35,240000
82,M,81.7,Others,63,Others,Science,67,Yes,86,70.2,300000
83,M,63,Central,67,Central,Commerce,74,No,82,60.44,288655.40625
84,M,84,Others,79,Others,Science,68,Yes,84,66.69,300000
85,M,70,Central,63,Others,Science,70,Yes,55,62,300000
86,F,83.84,Others,89.83,Others,Commerce,77.2,Yes,78.74,76.18,400000
87,M,62,Others,63,Others,Commerce,64,No,67,57.03,220000
88,M,59.6,Central,51,Central,Science,60,No,75,59.08,288655.40625
89,F,66,Central,62,Central,Commerce,73,No,58,64.36,210000
90,F,84,Others,75,Others,Science,69,Yes,62,62.36,210000
91,F,85,Others,90,Others,Commerce,82,No,92,68.03,300000
92,M,52,Central,57,Central,Commerce,50.8,No,67,62.79,288655.40625
93,F,60.23,Central,69,Central,Science,66,No,72,59.47,230000
94,M,52,Central,62,Central,Commerce,54,No,72,55.41,288655.40625
95,M,58,Central,62,Central,Commerce,64,No,53.88,54.97,260000
96,M,73,Central,78,Others,Commerce,65,Yes,95.46,62.16,420000
97,F,76,Central,70,Central,Science,76,Yes,66,64.44,300000
98,F,70.5,Central,62.5,Others,Commerce,61,No,93.91,69.03,288655.40625
99,F,69,Central,73,Central,Commerce,65,No,70,57.31,220000
100,M,54,Central,82,Others,Commerce,63,No,50,59.47,288655.40625
101,F,45,Others,57,Others,Commerce,58,Yes,56.39,64.95,288655.40625
102,M,63,Central,72,Central,Commerce,68,No,78,60.44,380000
103,F,77,Others,61,Others,Commerce,68,Yes,57.5,61.31,300000
104,M,73,Central,78,Central,Science,73,Yes,85,65.83,240000
105,M,69,Central,63,Others,Science,65,Yes,55,58.23,360000
106,M,59,Central,64,Others,Science,58,No,85,55.3,288655.40625
107,M,61.08,Others,50,Others,Science,54,No,71,65.69,288655.40625
108,M,82,Others,90,Others,Commerce,83,No,80,73.52,200000
109,M,61,Central,82,Central,Commerce,69,No,84,58.31,300000
110,M,52,Central,63,Others,Science,65,Yes,86,56.09,288655.40625
111,F,69.5,Central,70,Central,Science,72,No,57.2,54.8,250000
112,M,51,Others,54,Others,Science,61,No,60,60.64,288655.40625
113,M,58,Others,61,Others,Commerce,61,No,58,53.94,250000
114,F,73.96,Others,79,Others,Commerce,67,No,72.15,63.08,280000
115,M,65,Central,68,Others,Science,69,No,53.7,55.01,250000
116,F,73,Others,63,Others,Science,66,No,89,60.5,216000
117,M,68.2,Central,72.8,Central,Commerce,66.6,Yes,96,70.85,300000
118,M,77,Others,75,Others,Science,73,No,80,67.05,240000
119,M,76,Central,80,Central,Science,78,Yes,97,70.48,276000
120,M,60.8,Central,68.4,Central,Commerce,64.6,Yes,82.66,64.34,940000
121,M,58,Others,40,Others,Science,59,No,73,58.81,288655.40625
122,F,64,Central,67,Others,Science,69.6,Yes,55.67,71.49,250000
123,F,66.5,Central,66.8,Central,Arts,69.3,Yes,80.4,71,236000
124,M,74,Others,59,Others,Commerce,73,Yes,60,56.7,240000
125,M,67,Central,71,Central,Science,64.33,Yes,64,61.26,250000
126,F,84,Central,73,Central,Commerce,73,No,75,73.33,350000
127,F,79,Others,61,Others,Science,75.5,Yes,70,68.2,210000
128,F,72,Others,60,Others,Science,69,No,55.5,58.4,250000
129,M,80.4,Central,73.4,Central,Science,77.72,Yes,81.2,76.26,400000
130,M,76.7,Central,89.7,Others,Commerce,66,Yes,90,68.55,250000
131,M,62,Central,65,Others,Commerce,60,No,84,64.15,288655.40625
