Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Payment,cogs,gross margin percentage,gross income,Rating
0,0,0,0,74.69,7,26.1415,548.9715,0,522.83,4.761904762,26.1415,9.1
1,1,0,1,15.28,5,3.82,80.22,1,76.4,4.761904762,3.82,9.6
0,1,1,2,46.33,7,16.2155,340.5255,2,324.31,4.761904762,16.2155,7.4
0,0,1,0,58.22,8,23.288,489.048,0,465.76,4.761904762,23.288,8.4
0,1,1,3,86.31,7,30.2085,634.3785,0,604.17,4.761904762,30.2085,5.3
1,1,1,1,85.39,7,29.8865,627.6165,0,597.73,4.761904762,29.8865,4.1
0,0,0,1,68.84,6,20.652,433.692,0,413.04,4.761904762,20.652,5.8
1,1,0,2,73.56,10,36.78,772.38,0,735.6,4.761904762,36.78,8
0,0,0,0,36.26,2,3.626,76.146,2,72.52,4.761904762,3.626,7.2
2,0,0,4,54.84,3,8.226,172.746,2,164.52,4.761904762,8.226,5.9
2,0,0,5,14.48,4,2.896,60.816,0,57.92,4.761904762,2.896,4.5
2,0,1,1,25.51,4,5.102,107.142,1,102.04,4.761904762,5.102,6.8
0,1,0,1,46.95,5,11.7375,246.4875,0,234.75,4.761904762,11.7375,7.1
0,1,1,4,43.19,10,21.595,453.495,0,431.9,4.761904762,21.595,8.2
0,1,0,0,71.38,10,35.69,749.49,1,713.8,4.761904762,35.69,5.7
2,0,0,3,93.72,6,28.116,590.436,1,562.32,4.761904762,28.116,4.5
0,0,0,0,68.93,7,24.1255,506.6355,2,482.51,4.761904762,24.1255,4.6
0,1,1,3,72.61,6,21.783,457.443,2,435.66,4.761904762,21.783,6.9
0,1,1,4,54.67,3,8.2005,172.2105,2,164.01,4.761904762,8.2005,8.6
2,1,0,2,40.3,2,4.03,84.63,0,80.6,4.761904762,4.03,4.4
1,0,1,1,86.04,5,21.51,451.71,0,430.2,4.761904762,21.51,4.8
2,1,1,0,87.98,3,13.197,277.137,0,263.94,4.761904762,13.197,5.1
2,1,1,2,33.2,2,3.32,69.72,2,66.4,4.761904762,3.32,4.4
0,1,1,1,34.56,5,8.64,181.44,0,172.8,4.761904762,8.64,9.9
0,0,1,3,88.63,3,13.2945,279.1845,0,265.89,4.761904762,13.2945,6
0,0,0,2,52.59,8,21.036,441.756,2,420.72,4.761904762,21.036,8.5
2,1,1,5,33.52,1,1.676,35.196,1,33.52,4.761904762,1.676,6.7
0,1,0,5,87.67,2,8.767,184.107,2,175.34,4.761904762,8.767,7.7
2,1,0,4,88.36,5,22.09,463.89,1,441.8,4.761904762,22.09,9.6
0,1,1,0,24.89,9,11.2005,235.2105,1,224.01,4.761904762,11.2005,7.4
2,1,1,5,94.13,5,23.5325,494.1825,2,470.65,4.761904762,23.5325,4.8
2,0,1,3,78.07,9,35.1315,737.7615,1,702.63,4.761904762,35.1315,4.5
2,1,1,3,83.78,8,33.512,703.752,1,670.24,4.761904762,33.512,5.1
0,1,1,0,96.58,2,9.658,202.818,2,193.16,4.761904762,9.658,5.1
1,0,0,4,99.42,4,19.884,417.564,0,397.68,4.761904762,19.884,7.5
1,0,0,3,68.12,1,3.406,71.526,0,68.12,4.761904762,3.406,6.8
0,0,1,3,62.62,5,15.655,328.755,0,313.1,4.761904762,15.655,7
0,1,0,1,60.88,9,27.396,575.316,0,547.92,4.761904762,27.396,4.7
1,1,0,0,54.92,8,21.968,461.328,0,439.36,4.761904762,21.968,7.6
2,0,1,2,30.12,8,12.048,253.008,1,240.96,4.761904762,12.048,7.7
2,0,0,2,86.72,1,4.336,91.056,0,86.72,4.761904762,4.336,7.9
1,0,1,2,56.11,2,5.611,117.831,1,112.22,4.761904762,5.611,6.3
2,0,0,3,69.12,6,20.736,435.456,1,414.72,4.761904762,20.736,5.6
1,0,0,4,98.7,8,39.48,829.08,1,789.6,4.761904762,39.48,7.6
1,0,1,0,15.37,2,1.537,32.277,1,30.74,4.761904762,1.537,7.2
2,0,0,1,93.96,4,18.792,394.632,1,375.84,4.761904762,18.792,9.5
2,0,1,0,56.69,9,25.5105,535.7205,2,510.21,4.761904762,25.5105,8.4
2,0,0,4,20.01,9,9.0045,189.0945,0,180.09,4.761904762,9.0045,4.1
2,0,1,1,18.93,6,5.679,119.259,2,113.58,4.761904762,5.679,8.1
1,0,0,5,82.63,10,41.315,867.615,0,826.3,4.761904762,41.315,7.9
1,0,1,4,91.4,7,31.99,671.79,1,639.8,4.761904762,31.99,9.5
0,0,0,4,44.59,5,11.1475,234.0975,1,222.95,4.761904762,11.1475,8.5
2,0,0,5,17.87,4,3.574,75.054,0,71.48,4.761904762,3.574,6.5
1,0,1,5,15.43,1,0.7715,16.2015,2,15.43,4.761904762,0.7715,6.1
2,1,1,2,16.16,2,1.616,33.936,0,32.32,4.761904762,1.616,6.5
1,1,0,1,85.98,8,34.392,722.232,1,687.84,4.761904762,34.392,8.2
0,0,1,2,44.34,2,4.434,93.114,1,88.68,4.761904762,4.434,5.8
0,1,1,0,89.6,8,35.84,752.64,0,716.8,4.761904762,35.84,6.6
0,0,0,2,72.35,10,36.175,759.675,1,723.5,4.761904762,36.175,5.4
1,1,1,1,30.61,6,9.183,192.843,1,183.66,4.761904762,9.183,9.3
1,0,0,3,24.74,3,3.711,77.931,2,74.22,4.761904762,3.711,10
1,1,1,2,55.73,6,16.719,351.099,0,334.38,4.761904762,16.719,7
2,0,0,3,55.07,9,24.7815,520.4115,0,495.63,4.761904762,24.7815,10
0,0,1,3,15.81,10,7.905,166.005,2,158.1,4.761904762,7.905,8.6
2,0,1,0,75.74,4,15.148,318.108,1,302.96,4.761904762,15.148,7.6
0,0,1,0,15.87,10,7.935,166.635,1,158.7,4.761904762,7.935,5.8
1,1,0,0,33.47,2,3.347,70.287,0,66.94,4.761904762,3.347,6.7
2,0,0,5,97.61,6,29.283,614.943,0,585.66,4.761904762,29.283,9.9
0,1,1,3,78.77,10,39.385,827.085,1,787.7,4.761904762,39.385,6.4
0,0,0,0,18.33,1,0.9165,19.2465,1,18.33,4.761904762,0.9165,4.3
1,1,1,4,89.48,10,44.74,939.54,2,894.8,4.761904762,44.74,9.6
1,1,1,5,62.12,10,31.06,652.26,1,621.2,4.761904762,31.06,5.9
2,0,0,4,48.52,3,7.278,152.838,0,145.56,4.761904762,7.278,4
1,1,0,1,75.91,6,22.773,478.233,1,455.46,4.761904762,22.773,8.7
0,1,1,2,74.67,9,33.6015,705.6315,0,672.03,4.761904762,33.6015,9.4
1,1,0,1,41.65,10,20.825,437.325,2,416.5,4.761904762,20.825,5.4
1,0,1,5,49.04,9,22.068,463.428,2,441.36,4.761904762,22.068,8.6
0,0,0,5,20.01,9,9.0045,189.0945,2,180.09,4.761904762,9.0045,5.7
